Last Name,First Name,Position,Dev Trait,Overall Rating,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run,Height,Weight,Age,Birthdate,Years Pro,College,Total Salary,Signing Bonus,Handedness,portraitId
Edebali,Kasim,ROLB,-,63,79,87,74,74,57,36,40,36,19,37,16,45,45,72,82,10,91,83,76,25,15,26,27,35,22,81,45,45,45,45,78,62,72,74,57,56,64,29,25,15,74,40,40,6,6,6,6,6,74,253,28,8/17/89,3,Boston College,800000,200000,Right,6401
Stewart,Orion,SS,-,63,86,91,68,81,53,74,68,25,22,15,12,45,45,73,88,40,91,91,78,47,55,59,52,56,67,57,45,45,45,45,34,45,65,77,53,62,73,65,70,14,75,61,20,6,6,6,6,6,74,205,23,1/10/94,0,Baylor,1665000,0,Right,0
Traylor,Austin,TE,-,63,75,82,73,75,42,72,70,32,30,21,21,72,63,44,80,10,85,85,85,70,45,66,69,58,60,69,64,60,60,55,20,20,37,40,25,12,14,65,68,60,15,10,65,15,10,6,6,10,75,255,23,9/3/93,1,Wisconsin,465000,0,Right,8237
Carter,Jamal,FS,-,62,85,89,74,85,50,61,56,26,30,25,25,45,45,72,86,30,91,89,84,56,47,49,46,42,56,64,45,45,45,45,28,37,62,73,50,61,72,55,58,18,85,62,15,6,6,6,6,6,73,215,23,4/12/94,0,Miami,1665000,0,Right,8504
Murray,Justin,LT,-,62,75,84,77,71,43,42,64,30,22,22,21,72,76,41,72,10,87,85,80,20,15,10,19,10,10,75,84,76,74,67,25,15,39,29,20,13,15,15,25,15,20,10,40,6,6,6,6,6,77,304,24,4/1/93,1,Cincinnati,465000,0,Right,8158
Anderson,Zaire,MLB,-,60,79,89,74,83,52,51,46,25,24,19,19,29,21,81,82,10,85,87,82,41,44,35,43,38,37,76,44,44,44,43,71,60,75,76,52,55,63,35,41,26,83,38,29,6,6,6,6,6,71,220,25,8/18/92,2,Nebraska,540000,0,Right,8287
Dora,Vontarrius,ROLB,-,58,72,83,76,74,55,45,30,30,30,30,30,45,45,78,77,6,89,85,83,40,45,45,55,25,35,75,45,45,45,45,68,64,71,73,55,35,45,15,10,10,74,30,12,6,6,6,6,6,76,256,24,9/7/92,1,LA. Tech,540000,0,Right,7981
Gause,Quentin,ROLB,-,57,81,87,79,84,43,64,55,25,25,20,20,45,45,72,85,10,89,97,75,43,32,41,35,25,35,67,45,45,45,45,64,61,71,74,43,55,65,20,24,15,80,40,25,6,6,6,6,6,72,243,24,10/30/92,1,Rutgers,540000,0,Right,8330
Kreiter,Casey,TE,-,41,71,84,68,63,60,61,64,10,14,11,14,47,72,49,70,10,91,85,82,19,11,15,15,10,10,68,72,64,66,62,24,16,44,41,13,22,19,45,43,48,59,10,42,10,10,10,10,10,73,250,26,8/13/90,3,Iowa,540000,0,Right,8363
Thomas,Joe,LT,STAR,92,70,78,93,73,98,40,50,16,25,21,23,84,93,45,74,10,98,96,96,10,25,10,10,10,10,93,91,93,96,98,40,30,37,55,30,12,12,25,30,25,35,10,35,6,6,6,6,6,78,312,32,12/4/84,10,Wisconsin,72500000,6000000,Right,2949
Zeitler,Kevin,RG,QUICK,88,60,79,91,60,89,15,40,12,14,18,16,84,91,25,79,10,91,88,96,20,11,10,10,10,10,87,86,86,81,78,10,10,15,21,13,13,15,15,15,15,20,10,15,6,6,6,6,6,76,315,27,3/8/90,5,Wisconsin,48000000,12000000,Right,5582
Collins Sr,Jamie,LOLB,-,85,85,89,72,86,84,67,55,48,44,13,15,45,45,88,92,10,96,93,75,45,25,47,42,45,40,86,45,45,45,45,82,70,78,87,84,64,76,40,35,15,86,45,35,50,46,44,25,55,75,250,27,5/2/90,4,Southern Miss,37400000,11000000,Right,5750
Bitonio,Joel,LG,QUICK,84,73,85,86,74,85,28,40,16,12,24,21,82,85,21,79,10,92,88,91,28,15,10,10,10,10,84,79,84,82,89,10,10,10,19,28,12,20,15,15,15,25,10,15,6,6,6,6,6,76,305,25,10/11/91,3,Nevada,40164000,11500000,Right,6346
Tretter,J.C.,C,QUICK,84,69,84,89,70,85,60,65,65,52,19,18,83,86,32,78,10,85,88,85,44,25,39,52,45,35,86,75,80,76,81,24,23,22,21,10,12,12,62,64,32,12,10,55,54,48,43,28,35,75,307,26,2/12/91,4,Cornell,12000000,4500000,Right,6130
Garrett,Myles,RE,STAR,83,84,90,96,83,70,52,55,20,20,20,20,45,45,76,94,10,88,82,83,35,34,39,45,40,35,87,45,45,45,45,86,73,86,85,70,52,56,25,20,15,81,44,35,6,6,6,6,6,76,272,21,12/29/95,0,Texas AM,30566000,20370000,Right,8560
Britt,Kenny,WR,-,82,86,88,77,84,86,86,72,26,26,25,15,59,50,30,91,25,82,95,96,76,77,85,81,78,81,62,65,64,52,49,10,10,40,47,18,17,25,88,87,83,55,15,85,15,10,6,6,10,75,223,28,9/19/88,8,Rutgers,26000000,6500000,Right,518
Crowell,Isaiah,HB,-,82,89,93,75,86,82,59,87,32,25,20,22,45,42,40,89,70,93,85,75,85,82,87,77,80,92,45,45,45,44,46,10,10,39,44,21,15,13,50,62,57,12,10,59,35,30,20,15,15,71,225,24,1/8/93,3,Alabama St.,2746000,0,Right,6389
Greco,John,RG,-,82,63,81,86,59,86,45,45,30,30,25,25,83,84,30,50,10,92,78,90,20,12,10,30,10,10,83,87,79,79,72,10,10,20,28,15,12,15,15,15,15,20,10,15,6,6,6,6,6,76,318,32,3/24/85,9,Toledo,4420000,0,Right,1296
Kirksey,Christian,MLB,-,82,86,89,66,86,84,70,57,30,30,20,20,45,45,92,88,10,92,88,69,50,30,35,37,30,28,79,45,45,45,45,72,59,86,88,84,49,59,42,61,10,76,61,20,6,6,6,6,6,74,235,25,8/31/92,3,Iowa,31797000,6000000,Right,6481
Shelton,Danny,DT,QUICK,82,51,74,95,62,86,25,40,27,16,35,25,56,45,87,79,10,90,74,85,50,10,15,49,10,10,89,60,55,55,50,78,59,87,87,86,15,20,12,10,10,81,10,12,6,6,6,6,6,74,335,24,8/20/93,2,Washington,10000000,6000000,Right,7318
Haden,Joe,CB,-,81,89,90,66,97,81,79,60,35,32,10,11,45,45,60,94,25,95,98,83,35,85,82,15,81,86,53,45,45,45,45,55,48,53,80,81,81,77,60,45,20,72,89,25,6,6,6,6,6,71,195,28,4/14/89,7,Florida,67500000,16000000,Right,1343
McCourty,Jason,CB,-,81,92,94,65,88,82,76,43,30,19,22,24,45,45,73,87,45,92,87,55,27,67,55,29,59,66,57,45,45,45,45,40,44,58,84,82,76,79,48,53,15,62,82,12,6,6,6,6,6,71,195,30,8/13/87,8,Rutgers,4000000,2000000,Right,2044
Taylor,Jamar,CB,-,81,92,95,67,89,76,57,57,35,30,22,25,45,45,61,87,50,85,95,90,25,75,65,44,70,75,55,45,45,45,45,43,62,35,74,76,83,83,49,44,35,74,71,30,6,6,6,6,6,71,192,26,9/29/90,4,Boise State,11500000,3000000,Right,6276
Johnson Jr,Duke,HB,-,80,90,90,70,92,76,71,81,40,35,22,25,29,40,36,85,76,88,86,71,61,86,85,82,84,92,35,35,34,49,52,5,5,32,25,21,10,15,73,69,77,20,15,58,30,25,15,10,10,69,210,23,9/23/93,2,Miami,2800000,800000,Right,7191
Bryant,Desmond,DT,-,79,72,83,84,62,80,30,35,19,19,27,24,45,45,84,65,10,85,77,75,15,10,10,10,10,10,84,45,45,45,45,86,62,76,82,80,25,41,12,10,10,83,10,12,6,6,6,6,6,78,310,31,12/15/85,8,Harvard,8250000,2000000,Right,586
Coleman,Corey,WR,-,78,93,93,66,92,74,81,70,29,26,23,22,41,39,28,93,68,87,92,83,39,82,83,51,83,84,49,34,34,26,24,11,11,26,43,21,29,24,91,83,75,24,20,81,15,10,6,6,10,71,185,23,7/6/94,1,Baylor,11600000,6600000,Right,7950
Gordon,Josh,WR,SLOW,78,90,89,69,89,72,84,73,39,37,32,31,45,44,44,86,50,90,88,82,62,82,86,72,80,86,55,54,53,45,42,10,10,42,45,20,18,20,89,84,78,15,45,83,15,10,6,6,10,75,225,26,4/13/91,5,Baylor,1068000,0,Right,6701
Njoku,David,TE,QUICK,78,85,90,72,78,65,79,78,13,12,15,19,67,58,36,93,40,88,89,78,75,77,79,80,73,74,65,67,66,62,60,10,10,42,37,13,26,23,82,81,74,15,10,72,15,10,6,6,10,76,240,21,7/10/96,0,Miami,9563000,5090000,Right,8674
Colquitt,Britton,P,-,76,67,64,35,60,62,22,47,42,42,88,81,16,15,25,40,11,92,88,55,12,15,10,10,10,10,10,10,10,10,10,10,10,10,10,22,10,23,12,14,11,12,11,12,28,27,25,25,20,74,205,32,3/20/85,8,Tennessee,9700000,1500000,Right,4607
Peppers,Jabrill,SS,-,76,90,93,73,89,68,75,68,34,30,22,18,45,45,81,86,89,87,95,86,42,84,85,52,83,90,63,45,45,45,45,37,44,58,80,68,79,71,66,63,51,87,62,48,30,26,22,27,37,71,213,21,10/4/95,0,Michigan,10385000,5690000,Right,8684
Kessler,Cody,QB,-,75,77,82,62,68,75,26,68,89,70,21,20,21,17,24,61,11,89,91,85,27,32,42,28,26,34,17,20,19,19,18,9,9,21,28,21,12,18,20,20,18,13,9,19,86,79,75,78,79,73,215,24,5/11/93,1,USC,3100000,660000,Right,8095
Kizer,DeShone,QB,-,75,78,83,71,81,65,43,60,95,82,26,19,33,16,33,75,24,93,96,95,61,73,77,64,68,79,20,12,12,15,15,10,10,28,41,24,12,13,24,18,22,37,10,18,81,78,76,79,83,76,230,21,1/3/96,0,Notre Dame,4961000,1740000,Right,8623
Osweiler,Brock,QB,SLOW,75,77,77,70,72,75,25,58,96,77,26,15,22,21,23,81,10,96,88,87,40,41,54,45,44,47,21,21,21,19,20,10,10,23,19,15,10,15,39,27,10,15,10,15,81,77,74,71,75,80,235,26,11/22/90,5,Arizona St.,71000000,17000000,Right,5400
Ogbah,Emmanuel,LE,-,74,85,88,77,80,65,38,33,22,20,20,19,31,20,81,86,9,90,82,90,29,26,33,31,26,31,82,44,45,46,44,83,72,66,79,65,59,71,17,17,14,83,22,17,6,6,6,6,6,76,275,23,11/6/93,1,Oklahoma St.,6600000,3000000,Right,8168
Parkey,Cody,K,-,74,64,70,35,65,55,42,45,39,35,94,81,15,10,19,64,10,92,85,75,15,26,24,10,15,25,15,20,20,20,20,10,10,15,20,15,15,20,15,10,10,10,10,12,25,25,20,20,20,72,190,25,2/19/92,3,Auburn,690000,0,Right,7267
Gonzalez,Zane,K,-,73,75,77,45,58,51,28,23,29,22,96,80,24,16,24,50,10,86,83,62,24,28,25,15,23,31,10,10,10,10,10,10,10,17,19,12,12,12,14,17,16,17,10,13,33,28,24,18,26,72,202,22,5/7/95,0,Arizona St.,2444000,80000,Right,8569
Drango,Spencer,LG,-,72,63,77,83,74,75,27,30,30,30,25,25,77,76,33,79,10,91,84,92,31,20,21,32,16,21,76,81,77,82,78,26,18,24,30,18,12,15,20,18,17,33,10,15,6,6,6,6,6,78,320,24,10/15/92,1,Baylor,2540000,200000,Right,7985
Meder,Jamie,DT,-,72,66,75,87,74,75,29,40,28,19,17,16,43,45,73,60,10,91,87,92,44,12,14,19,10,10,83,49,49,45,45,81,60,71,77,75,25,43,15,15,15,74,12,15,6,6,6,6,6,75,308,26,4/12/91,3,Ashland,615000,0,Right,7760
Pryor III,Calvin,FS,-,72,87,90,70,86,78,68,64,25,24,19,17,45,45,71,85,45,93,92,84,65,55,60,62,65,60,68,45,45,45,43,53,56,64,75,78,51,63,68,69,25,93,72,25,6,6,6,6,6,71,208,25,7/2/92,3,Louisville,8560000,4500000,Right,6554
Boddy-Calhoun,Briean,CB,-,71,90,89,59,85,71,55,48,30,30,20,15,45,45,55,86,65,89,88,72,36,67,59,42,70,74,53,45,45,45,45,34,42,54,79,71,71,77,54,52,26,49,67,28,15,10,10,15,15,69,193,24,1/21/93,1,Minnesota,1620000,0,Right,8297
Erving,Cameron,RT,-,71,67,76,84,72,73,45,45,30,30,25,25,73,73,56,79,10,93,85,73,25,12,10,30,10,10,83,80,84,82,86,55,25,47,54,25,12,15,15,15,15,44,10,15,6,6,6,6,6,77,313,25,8/23/92,2,Florida State,8000000,4400000,Right,7103
Johnson,Cam,RE,-,71,79,87,72,77,68,47,37,33,30,22,21,45,45,79,86,10,76,87,80,25,15,22,10,40,26,77,45,45,45,45,81,60,74,78,68,63,72,44,59,39,82,24,60,6,6,6,6,6,76,268,27,5/24/90,5,Virginia,615000,0,Right,5271
McCants,Matthew,LT,-,71,54,73,84,68,67,35,35,24,24,25,25,75,79,35,71,10,91,87,89,25,10,11,35,10,10,81,84,66,91,69,15,15,15,21,10,12,15,12,10,10,15,10,12,6,6,6,6,6,77,309,28,8/18/89,5,UAB,775000,80000,Right,5344
Nassib,Carl,RE,-,71,78,87,75,74,66,47,33,22,20,20,19,38,28,72,76,9,89,78,86,26,28,29,33,24,27,77,44,45,46,44,80,69,75,79,66,33,40,42,39,14,74,26,17,6,6,6,6,6,79,275,24,4/12/93,1,Penn State,3450000,880000,Right,8159
Brantley,Caleb,DT,-,70,69,82,89,63,56,33,28,28,40,19,11,45,45,80,68,10,88,79,80,37,22,30,36,23,35,86,45,45,45,45,79,67,80,83,56,22,31,22,26,20,81,13,16,6,6,6,6,6,74,307,22,9/2/94,0,Florida,2535000,180000,Right,8488
Cooper,Xavier,DT,-,70,77,86,83,71,68,46,55,10,8,43,41,55,49,73,79,10,92,83,80,39,34,40,45,44,40,80,54,53,50,47,76,65,72,77,68,15,30,15,10,10,78,10,12,6,6,6,6,6,76,300,25,11/30/91,2,Wash. St.,2400000,600000,Right,7061
Johnson,Rod,LT,-,70,76,82,89,62,58,27,23,25,40,23,17,78,77,36,73,11,90,87,86,34,24,25,32,17,28,79,85,72,84,72,27,18,37,33,10,12,12,12,15,10,41,10,12,6,6,6,6,6,78,300,21,11/28/95,0,Florida State,2623000,260000,Right,8607
Vitale,Danny,FB,-,70,85,87,82,85,58,72,75,33,20,23,22,67,63,40,89,8,90,86,85,76,57,72,71,62,68,66,65,64,55,55,22,19,33,40,23,17,31,61,66,60,25,25,54,18,15,13,20,22,73,239,23,10/26/93,1,Northwestern,540000,0,Right,8248
Burley,Marcus,CB,-,69,92,93,60,87,60,58,59,36,35,26,22,45,45,55,83,66,93,91,69,45,55,56,45,65,70,47,45,45,45,45,41,47,53,71,60,72,78,55,40,35,55,74,45,6,6,6,6,6,70,190,27,7/16/90,4,Delaware,1797000,0,Right,6939
Campbell,Ibraheim,SS,-,69,88,89,78,87,65,52,55,24,25,26,19,45,45,75,83,35,82,87,80,45,50,65,51,62,64,59,45,45,45,45,48,44,68,74,65,57,69,40,45,20,79,63,25,6,6,6,6,6,71,208,25,5/13/92,2,Northwestern,2400000,440000,Right,7037
Holmes,Tyrone,LE,-,69,85,86,82,85,47,49,37,27,20,25,24,29,23,86,85,6,91,82,90,32,38,40,42,25,39,76,45,45,45,45,72,79,77,76,47,30,38,15,10,10,84,30,12,6,6,6,6,6,74,253,23,9/10/93,1,Montana,2487000,140000,Right,8055
Kindred,Derrick,SS,-,69,89,90,75,83,64,70,71,18,30,17,22,26,22,77,87,30,90,88,88,48,62,58,54,62,67,59,45,45,45,45,26,30,48,72,64,62,69,53,48,25,87,69,34,6,6,6,6,6,70,210,23,12/15/93,1,TCU,2790000,490000,Right,8097
Ogunjobi,Larry,DT,-,69,75,83,88,77,59,35,31,23,21,17,17,45,45,76,78,14,90,79,89,33,24,26,28,23,31,85,46,45,44,45,79,64,73,74,59,23,31,28,30,14,79,17,15,6,6,6,6,6,74,305,23,6/3/94,0,Charlotte,3905000,980000,Right,8680
Orchard,Nate,LE,-,69,79,87,76,75,69,66,63,36,32,25,24,45,45,65,81,10,90,89,83,35,30,25,29,45,35,67,45,45,45,45,62,81,75,75,69,46,51,20,15,15,74,24,25,6,6,6,6,6,76,255,24,1/5/93,2,Utah,4400000,1600000,Right,7263
Schobert,Joe,ROLB,-,69,80,87,76,79,68,55,42,23,24,21,18,33,37,72,84,10,91,86,92,30,29,33,36,26,31,79,44,44,44,44,60,59,73,81,68,64,72,29,31,17,76,42,22,6,6,6,6,6,73,245,23,11/6/93,1,Wisconsin,2920000,630000,Right,8206
Wilson,Howard,CB,-,69,87,91,53,93,57,73,68,22,25,25,25,45,45,64,81,58,87,93,75,28,65,68,30,63,71,53,45,45,45,45,27,36,51,74,57,80,77,60,63,28,69,76,24,6,6,6,6,6,72,184,21,10/30/95,0,Houston,2965000,610000,Right,8784
Coleman,Shon,RT,-,68,66,74,86,67,58,30,33,25,25,24,22,76,74,30,74,10,81,83,87,31,18,20,26,19,21,78,90,82,87,68,32,20,15,23,10,12,15,12,10,10,44,10,12,6,6,6,6,6,79,310,25,11/25/91,1,Auburn,3360000,780000,Right,7951
DeValve,Seth,TE,-,68,83,90,75,86,56,77,74,29,20,21,21,64,66,39,92,10,88,86,80,70,53,72,74,69,70,60,64,60,60,55,20,20,33,42,15,12,14,72,66,59,15,10,66,15,10,6,6,10,75,245,24,1/29/93,1,Princeton,2670000,380000,Right,7975
Martin,Marcus,C,-,68,65,79,82,66,77,45,45,30,30,25,25,72,72,34,72,10,83,79,89,20,12,10,30,10,10,83,86,82,82,76,10,10,20,29,15,12,15,15,15,15,12,10,15,6,6,6,6,6,75,310,23,11/29/93,3,USC,3000000,800000,Right,6510
Reynolds II,Ed,FS,SLOW,68,87,90,61,83,68,74,64,20,17,17,21,45,45,68,89,40,85,89,79,54,73,78,52,66,75,58,45,45,45,45,54,52,58,79,68,57,69,65,66,15,79,64,15,15,10,10,15,15,73,207,25,10/18/91,3,Stanford,615000,0,Right,6563
Hogan,Kevin,QB,-,66,80,84,68,77,65,42,72,86,70,24,20,32,21,39,74,19,91,93,95,63,52,76,56,48,67,30,20,19,19,18,9,9,21,28,21,12,18,20,20,18,11,9,19,79,74,69,74,82,75,218,24,10/20/92,1,Stanford,540000,0,Right,8054
Louis,Ricardo,WR,-,66,91,90,67,89,60,78,63,32,27,23,22,45,40,22,89,75,89,90,82,29,81,77,40,73,84,45,44,44,36,34,11,11,36,37,21,16,24,82,76,65,15,16,60,15,10,6,6,10,74,215,23,3/23/94,1,Auburn,2860000,560000,Right,8118
Sterup,Zach,LT,-,66,71,79,86,68,54,34,32,14,15,22,24,77,73,59,75,10,88,80,85,41,14,21,30,10,24,80,73,75,75,77,62,40,56,47,23,16,12,40,32,33,64,15,18,6,6,6,6,6,81,318,25,5/14/92,2,Nebraska,1200000,0,Right,8430
Carder,Tank,MLB,-,65,85,89,66,80,64,67,55,20,19,14,17,45,45,83,87,10,84,95,97,27,11,42,35,33,32,72,45,45,45,45,64,48,64,88,64,50,71,48,44,20,77,52,25,6,6,6,6,6,74,235,28,1/18/89,5,TCU,1200000,150000,Right,5094
Higgins,Rashard,WR,-,65,85,88,66,86,58,81,71,29,20,23,22,43,38,31,84,65,90,88,87,42,68,79,47,78,77,49,44,44,36,34,11,11,36,37,21,16,24,74,77,72,15,16,59,15,10,6,6,10,73,198,22,10/7/94,1,Colorado St.,2520000,180000,Right,8051
Ikard,Gabe,C,-,65,68,81,73,73,69,55,54,26,24,22,22,73,76,29,75,10,92,84,85,25,18,10,10,10,10,71,70,75,72,83,10,10,10,30,10,12,12,12,10,10,12,10,12,6,6,6,6,6,76,300,26,9/26/90,3,Oklahoma,615000,0,Right,7866
Telfer,Randall,TE,-,65,78,84,72,81,58,66,67,33,32,18,16,57,71,40,79,10,75,83,82,67,62,68,64,70,72,68,73,72,62,62,10,10,42,40,15,15,13,79,75,50,25,25,80,15,10,6,6,10,76,250,25,5/16/92,2,USC,1800000,240000,Right,7345
Wilds,Brandon,HB,-,65,88,90,76,81,53,62,83,30,30,25,18,46,51,29,86,66,82,84,75,77,69,78,70,62,79,38,51,50,44,45,10,10,11,40,22,15,20,52,58,48,20,20,57,30,25,20,15,15,74,220,24,7/22/93,1,South Carolina,540000,0,Right,8453
Boyce,Josh,WR,-,64,91,89,70,89,51,72,72,40,35,30,30,53,37,35,85,56,90,90,86,69,65,73,54,82,83,49,47,45,44,42,10,10,37,30,20,12,35,81,79,62,12,15,74,15,10,6,6,10,71,205,26,5/6/91,4,TCU,1170000,0,Right,5704
Fabiano,Anthony,C,-,64,71,85,86,72,52,28,31,24,21,20,20,74,76,35,79,9,79,82,84,27,18,16,19,10,11,78,80,78,77,76,19,17,29,31,19,12,14,14,14,13,33,10,15,6,6,6,6,6,73,303,24,7/13/93,1,Harvard,540000,0,Right,8317
Magee,Terrence,HB,-,64,86,88,74,74,47,57,84,25,14,25,14,46,65,41,87,33,88,80,83,72,80,78,71,72,82,52,55,50,59,62,5,5,24,29,19,10,15,58,60,61,35,15,60,30,25,15,10,10,68,214,24,3/16/93,2,LSU,615000,0,Right,7220
Payton,Jordan,WR,-,64,90,90,67,87,53,82,68,35,31,23,22,57,47,37,89,45,92,88,87,37,64,73,68,74,71,42,44,44,36,34,11,11,27,33,21,16,24,76,74,70,15,16,53,15,10,6,6,10,73,209,24,9/1/93,1,UCLA,2580000,240000,Right,8171
Dayes,Matthew,HB,-,63,84,89,67,85,54,67,81,28,14,18,15,38,58,29,70,77,87,85,76,42,71,80,65,69,83,52,30,30,33,29,10,10,28,35,22,14,22,61,64,62,32,14,57,25,20,15,15,26,68,205,22,9/3/94,0,N.C. State,2419000,60000,Right,8530
Hall,Rannell,WR,-,62,87,91,68,87,53,70,52,35,35,30,30,50,30,25,92,76,85,87,84,48,77,79,55,85,79,50,52,49,45,45,10,10,32,35,20,15,35,79,81,65,12,15,57,15,10,6,6,10,72,200,24,1/29/93,1,UCF,960000,0,Right,7485
Stribling,Channing,CB,-,62,86,88,49,82,54,64,60,30,35,15,11,45,45,57,81,53,85,89,69,27,66,65,33,64,72,41,45,45,45,45,33,42,43,65,54,74,68,57,61,23,62,78,16,6,6,6,6,6,74,188,22,11/21/94,0,Michigan,1665000,0,Right,8737
Alexander,Dominique,ROLB,-,61,80,88,75,80,52,57,45,25,25,20,20,45,45,78,70,10,83,87,80,43,32,41,35,25,35,72,45,45,45,45,61,60,72,78,52,55,65,20,24,15,75,40,25,6,6,6,6,6,72,235,22,4/20/95,1,Oklahoma,1620000,0,Right,8278
Caldwell,Trey,FS,-,61,89,94,60,92,50,55,61,22,22,11,10,28,36,67,86,75,89,89,83,26,62,72,42,71,72,50,25,25,33,33,26,28,46,74,50,69,72,40,44,33,47,71,43,35,30,20,15,15,69,185,23,12/4/93,1,UL Monroe,465000,0,Right,7931
Hillary,Darius,CB,-,61,87,90,60,88,46,61,61,25,25,10,11,28,19,54,83,45,88,88,65,25,65,60,31,67,72,45,45,45,45,45,26,31,41,60,46,75,72,38,29,20,45,67,12,6,6,6,6,6,70,183,24,4/5/93,1,Wisconsin,1020000,0,Right,8053
Alford,Mario,WR,-,60,93,91,65,95,55,76,55,47,42,21,18,38,25,35,84,78,91,88,68,32,85,80,35,85,79,42,35,33,25,24,10,10,30,40,25,12,25,65,71,53,15,15,54,15,10,6,6,10,68,177,25,2/25/92,2,West Virginia,615000,0,Right,6990
Burgess,James,LOLB,-,60,82,85,79,78,50,65,62,25,25,20,20,45,45,80,78,10,89,85,75,40,20,25,40,49,47,72,45,45,45,45,60,68,67,70,50,65,72,51,35,10,72,58,12,6,6,6,6,6,72,233,23,3/9/94,1,Louisville,1020000,0,Right,8302
Hughlett,Charley,TE,-,51,71,83,75,77,65,57,65,44,49,13,13,69,67,54,79,10,90,74,75,34,28,25,45,25,30,73,69,65,67,64,10,10,42,44,40,25,24,48,52,38,58,15,12,6,6,6,6,6,76,248,27,5/16/90,3,UCF,5520000,850000,Right,7716
Evans,Mike,WR,STAR,90,88,91,81,86,96,88,77,35,30,25,24,65,45,39,94,50,91,92,88,76,76,88,79,75,83,59,60,61,40,38,10,10,35,25,15,20,15,96,95,88,15,20,95,25,20,15,10,15,77,231,24,8/21/93,3,Texas AM,13948000,2240000,Right,6407
McCoy,Gerald,DT,STAR,90,69,84,92,75,88,32,40,15,16,12,11,45,45,89,82,10,87,90,79,35,17,35,10,10,10,90,45,45,45,45,92,77,78,82,88,24,32,12,10,10,85,10,12,6,6,6,6,6,76,300,29,2/25/88,7,Oklahoma,83000000,11500000,Right,2048
Grimes,Brent,CB,QUICK,88,87,90,59,91,90,80,71,30,30,25,25,45,45,59,91,65,89,92,70,25,48,80,15,65,75,55,45,45,45,45,25,42,53,82,90,91,84,82,36,37,47,85,15,6,6,6,6,6,70,185,34,7/19/83,10,Shippensburg,13500000,3500000,Right,1325
Jackson,DeSean,WR,-,87,94,93,47,96,92,90,65,40,35,30,30,33,30,22,87,88,84,97,72,42,95,94,45,91,92,45,40,40,38,35,10,10,35,35,20,15,35,92,84,90,12,15,81,15,10,6,6,10,70,175,30,12/1/86,9,California,33500000,0,Left,1603
Anger,Bryan,P,-,85,72,69,55,74,70,65,60,50,49,95,94,25,19,34,75,10,97,85,82,25,35,22,10,35,55,22,22,22,19,19,12,14,17,39,28,11,25,35,43,15,22,10,15,30,30,25,20,20,75,205,28,10/6/88,5,California,15500000,0,Right,5023
Baker,Chris,DT,-,84,71,84,90,64,85,25,40,21,24,24,18,45,45,81,72,10,88,77,70,22,29,10,10,10,10,88,45,45,45,45,84,66,85,83,85,25,30,15,15,15,74,16,15,6,6,6,6,6,74,320,29,10/8/87,8,Hampton,12750000,3000000,Right,336
David,Lavonte,ROLB,QUICK,84,86,90,72,87,86,77,60,15,17,14,12,45,45,89,88,10,97,97,89,26,25,35,39,25,35,88,45,45,45,45,61,68,67,85,86,72,83,15,15,15,86,55,25,6,6,6,6,6,73,233,27,1/23/90,5,Nebraska,50250000,5000000,Right,5133
Marpet,Ali,C,QUICK,84,73,84,88,71,87,45,45,30,30,25,25,83,87,37,80,10,90,82,82,20,12,10,30,10,10,78,82,85,73,83,10,10,20,25,15,12,15,15,15,15,20,10,15,6,6,6,6,6,76,307,24,4/17/93,2,Hobart,3600000,1200000,Right,7223
Brate,Cameron,TE,QUICK,83,80,86,72,75,86,88,76,20,34,24,22,62,69,40,81,8,91,84,75,63,58,71,63,66,70,64,62,64,55,60,10,10,51,40,15,12,13,85,83,81,20,10,76,15,10,6,6,10,77,235,26,7/3/91,3,Harvard,690000,0,Right,7026
Martin,Doug,HB,-,83,88,88,79,91,83,60,88,39,33,35,33,45,70,54,88,65,86,93,91,90,84,86,86,77,83,57,54,52,49,45,25,30,49,62,37,35,45,65,71,72,70,20,58,35,30,15,10,10,69,223,28,1/13/89,5,Boise State,32750000,8000000,Right,5334
Howard,O.J.,TE,QUICK,82,87,90,75,82,69,82,77,30,35,24,17,73,71,36,74,35,96,89,96,77,71,79,78,61,72,73,60,61,49,61,13,20,34,41,20,15,20,77,79,72,30,18,68,18,15,9,6,10,78,250,22,11/19/94,0,Alabama,11141000,6240000,Right,8594
Sims III,Charles,HB,-,82,89,90,67,85,84,71,83,33,19,10,9,45,71,32,88,60,84,92,85,69,87,89,69,87,91,43,43,42,59,61,10,10,22,40,17,10,31,78,79,76,12,20,75,35,30,20,15,15,72,211,26,9/19/90,3,West Virginia,3000000,800000,Right,6585
